Getränkename,Zutat,Menge pro Drink (ml/cl)
Mojito,Havana Club 3 Años Rum,50
Mojito,Minze,10
Mojito,Rohrzucker,2
Mojito,Limettensaft,25
Mojito,Sodawasser,150
Dark 'n' Stormy,Gosling's Black Seal Rum,50
Dark 'n' Stormy,Ingwerbier,100
Dark 'n' Stormy,Limettensaft,10
Adam küsste Eva,Mount Gay Eclipse Rum,50
Adam küsste Eva,Feigensirup,20
Adam küsste Eva,Limettensaft,20
Adam küsste Eva,Angostura,1
Tropical Sniki Tiki,Plantation Original Dark Rum,40
Tropical Sniki Tiki,Bananenlikör,20
Tropical Sniki Tiki,Passoa,20
Tropical Sniki Tiki,Maracujasaft,60
Tropical Sniki Tiki,Kokoscreme,20
Tropical Sniki Tiki,Sahne,30
Elder Rum Punch,Plantation Original Dark Rum,50
Elder Rum Punch,Holunderblütenlikör,20
Elder Rum Punch,Ahornsirup,10
Elder Rum Punch,Apfelsaft,60
Elder Rum Punch,Limettensaft,20
Rhabarber Gin Fizz,Rhubarb Gin von Whitley Neill,50
Rhabarber Gin Fizz,Zitronensaft,25
Rhabarber Gin Fizz,Rharbarbersirup,15
Rhabarber Gin Fizz,Zuckersirup,15
Rhabarber Gin Fizz,Eiweiß,1
Rhabarber Gin Fizz,Sodawasser,100
Basil Smash,Hendrick’s Gin,50
Basil Smash,Zitronensaft,25
Basil Smash,Zuckersirup,15
BeGINning of Weekend,Beefeater London Garden Gin,50
BeGINning of Weekend,Cointreau,20
BeGINning of Weekend,Ananassaft,60
BeGINning of Weekend,Limettensaft,20
Ginspiriert Matcha,The Botanist Gin,50
Ginspiriert Matcha,Matcha Green Tea Sirup,25
Ginspiriert Matcha,Vanille Sirup,10
Ginspiriert Matcha,Limettensaft,20
Ginspiriert Matcha,Grüner Tee,80
The Last Word,Plymouth Gin,25
The Last Word,Grüner Chartreuse,25
The Last Word,Maraschino-Likör,25
The Last Word,Limettensaft,25
Moscow Mule,9 Mile Vodka,50
Moscow Mule,Limettensaft,20
Moscow Mule,Ginger Beer,100
Weissburgunder,Weissburgunder,200
Dornfelder,Dornfelder,200
Cola,Cola,300
Cola Zero,Cola Zero,300
Radeberger Pils,Radeberger Pils,300
Radeberger Pils Alkoholfrei,Radeberger Pils Alkoholfrei,300
Fanta,Fanta,300
Sprite,Sprite,300
Whiskey Sour,Buffalo Trace Bourbon,50
Whiskey Sour,Limettensaft,25
Whiskey Sour,Zuckersirup,15
Big Brother of Moscow Mule,Glenmorangie Whisky,40
